1 observations
	dPOP1_AM_0	dPOP1_AM_1	dPOP1_AM_2	dPOP1_AM_3	dPOP1_AM_4	dPOP1_AM_5	dPOP1_AM_6	dPOP1_AM_7	dPOP1_AM_8	dPOP1_AM_9	dPOP1_AM_10	dPOP1_AM_11	dPOP1_AM_12	dPOP1_AM_13	dPOP1_AM_14	dPOP1_AM_15	dPOP1_AM_16	dPOP1_AM_17	dPOP1_AM_18
dPOP2_AC_0	12538116	17910	3400	564	250	160	153	101	105	131	127	141	131	78.5	0	0	0	0	0
dPOP2_AC_1	10879	2784	1327	370	215	143	113	118	101	137	127	123	60	0	0	0	0	0	0
dPOP2_AC_2	3133	793	859	301	218	148	138	111	114	119	108	67	0	0	0	0	0	0	0
dPOP2_AC_3	1194	440	665	267	208	164	149	131	116	119	49.5	0	0	0	0	0	0	0	0
dPOP2_AC_4	581	290	467	253	170	167	166	127	169	154	0	0	0	0	0	0	0	0	0
dPOP2_AC_5	339	176	387	248	194	182	158	144	49.5	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_6	135	132	296	226	202	181	135	67	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_7	61	97	203	215	177	185	60	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_8	15	44	108	134	153	78.5	0	0	0	0	0	0	0	0	0	0	0	0	0
