MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-225706.896,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225729.348,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225732.312,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225739.124,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225740.436,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225740.543,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-222206.214,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-222209.128,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-222210.121,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226039.354,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226088.413,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226092.243,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226097.868,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226108.451,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226111.548,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226112.521,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226113.559,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226118.837,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226120.846,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226123.145,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226131.709,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226133.964,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226140.661,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226148.3,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226167.804,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226171.168,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226185.589,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226205.845,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226406.351,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226450.104,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226467.022,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226470.275,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226478.357,-216053.662,13_div_botgwt,,,,,,,,,,,,,
