NVAM0,NVAC1,NBOTAM,TBOTEND,TJUMP,GAM,N0M1,N1M0,ResBOT,ResJUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
4194,20536,177,189,191,-0.39111,108.05,293.17,0.04220,116,0.01428,0.02576,-215231,-215164
7768,20435,192,173,185,-0.43118,202.18,292.68,0.02472,106,0.01432,0.02603,-217161,-217108
2953,14321,79,165,185,-0.50675,99.76,255.31,0.02675,181,0.01783,0.03378,-214279,-214216
5454,23159,250,194,197,-0.36205,126.20,294.66,0.04584,93,0.01272,0.02314,-214254,-214178
5825,17085,128,151,181,-0.52426,185.05,295.14,0.02197,133,0.01727,0.03177,-215965,-215928
7731,11122,54,154,178,-0.56052,252.91,188.43,0.00698,206,0.01694,0.03271,-218736,-218673
6792,23974,288,190,197,-0.35964,153.12,293.34,0.04240,83,0.01224,0.02254,-214648,-214592
4063,11769,61,117,185,-0.65188,166.76,264.48,0.01501,193,0.02247,0.04104,-213512,-213466
3832,21236,190,191,194,-0.36720,94.94,295.29,0.04958,112,0.01391,0.02477,-216054,-215984
4285,17861,132,173,188,-0.44963,121.80,282.10,0.03081,135,0.01579,0.02842,-215257,-215198
3084,14844,97,131,150,-0.54689,113.89,294.21,0.03145,153,0.01982,0.03693,-216603,-216567
10587,12134,69,187,190,-0.43171,265.25,162.83,0.00652,176,0.01342,0.02505,-211922,-211870
2441,9308,39,81,87,-0.94802,146.46,295.64,0.01598,239,0.03176,0.06000,-215489,-215440
4320,19217,153,183,192,-0.41093,115.26,281.73,0.03542,126,0.01466,0.02668,-217845,-217802
5337,21201,197,193,197,-0.37204,127.48,280.63,0.03691,108,0.01324,0.02389,-217882,-217831
4013,19970,172,193,195,-0.35920,96.87,269.32,0.04286,116,0.01349,0.02414,-216763,-216712
8675,22168,228,192,196,-0.38056,199.90,285.70,0.02628,97,0.01289,0.02304,-215678,-215624
5147,22248,216,194,197,-0.36169,121.41,295.62,0.04197,103,0.01329,0.02359,-216727,-216684
7464,16192,111,186,195,-0.45373,201.42,234.70,0.01487,146,0.01449,0.02699,-216238,-216198
2216,10444,46,117,145,-0.65265,94.28,238.81,0.02076,227,0.02287,0.04254,-214425,-214372
4592,19909,164,186,196,-0.41591,125.61,293.69,0.03571,121,0.01475,0.02735,-216783,-216737
12539,23908,289,194,197,-0.37633,265.84,281.08,0.02305,83,0.01176,0.02120,-215620,-215549
7327,22999,251,190,193,-0.38841,174.10,293.76,0.03426,92,0.01277,0.02376,-215898,-215843
3603,17861,128,171,191,-0.44989,106.73,292.08,0.03553,140,0.01635,0.02962,-214630,-214579
3167,11930,59,141,186,-0.52193,107.97,226.78,0.01863,202,0.01901,0.03409,-215402,-215346
3150,14870,92,142,175,-0.54276,111.16,285.87,0.02921,162,0.01922,0.03529,-215295,-215234
4593,20513,202,194,197,-0.35424,107.27,254.32,0.04398,102,0.01240,0.02336,-215154,-215072
3310,12575,65,174,186,-0.41866,92.72,196.14,0.01964,193,0.01560,0.02801,-215916,-215864
6823,20630,182,194,197,-0.41618,171.89,280.96,0.02667,113,0.01362,0.02519,-216062,-216021
