NVAM0,NVAC1,NBOTAM,TBOTEND,TJUMP,GAM,N0M1,N1M0,ResBOT,ResJUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
20768,15881,132,556,738,-0.00139,3.800,5.480,0.00636,120,0.00034,0.00018,-516260,-516023
31779,18976,184,747,983,-0.00112,4.300,4.910,0.00579,103,0.00026,0.00014,-518472,-518273
34320,15978,130,821,970,-0.00113,4.180,4.030,0.00379,123,0.00025,0.00012,-515835,-515693
31763,16518,140,740,862,-0.00167,4.300,4.520,0.00441,118,0.00027,0.00014,-515853,-515692
30097,22401,261,717,982,-0.00149,4.230,5.740,0.00867,86,0.00026,0.00014,-519859,-519613
34881,16155,132,814,959,-0.00120,4.300,4.150,0.00378,122,0.00026,0.00012,-518815,-518666
29756,19050,191,693,850,-0.00183,4.300,5.320,0.00642,100,0.00028,0.00014,-516129,-515903
28964,22049,253,702,989,-0.00132,4.060,5.980,0.00874,87,0.00027,0.00014,-519347,-519079
27922,19613,199,711,901,-0.00156,4.030,5.140,0.00713,99,0.00026,0.00014,-521654,-521410
28896,15953,130,705,842,-0.00150,4.110,4.690,0.00450,123,0.00029,0.00014,-517746,-517551
20869,15975,128,627,983,-0.00006,3.270,5.340,0.00613,125,0.00033,0.00016,-518160,-517979
29770,15978,131,705,856,-0.00130,4.160,4.580,0.00440,122,0.00029,0.00014,-519978,-519771
55574,15885,128,906,943,-0.00255,6.150,3.690,0.00230,124,0.00023,0.00011,-517273,-517116
32167,19417,195,796,981,-0.00143,4.070,4.910,0.00606,100,0.00025,0.00013,-516613,-516411
21607,11855,73,474,519,-0.00322,4.570,4.580,0.00338,162,0.00039,0.00021,-521569,-521319
23033,20058,212,587,864,-0.00139,4.010,6.460,0.00920,95,0.00032,0.00017,-516289,-516020
24721,13523,91,732,974,-0.00009,3.310,4.060,0.00368,149,0.00030,0.00013,-514902,-514754
30926,15949,129,761,890,-0.00141,4.120,4.220,0.00417,124,0.00026,0.00013,-522075,-521883
