Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,8,75,19,63,84,49
best_MOL,-8664.584,-7479.3,-7119.272,-7496.311,-6936.865,-6858.685
Iteration_1,-8666.43543,-7486.18956,-7127.15122,-7503.73115,-6939.75021,-6863.06384
Iteration_2,-8670.0794,-7484.38836,-7124.25819,-7503.54869,-6943.35058,-6866.06262
Iteration_3,-8669.71612,-7480.33509,-7129.19823,-7503.42408,-6944.75409,-6867.60277
Iteration_4,-8668.99148,-7481.63123,-7127.98477,-7503.21157,-6942.752,-6870.7214
Iteration_5,-8668.49691,-7485.40073,-7126.82265,-7505.22704,-6942.3286,-6865.33412
Iteration_6,-8669.17794,-7485.30044,-7125.51529,-7508.25784,-6942.91833,-6867.78583
Iteration_7,-8668.35649,-7483.2439,-7127.0198,-7501.31973,-6942.40935,-6872.75291
Iteration_8,-8669.92602,-7484.0612,-7125.16734,-7502.03794,-6940.56376,-6866.48371
Iteration_9,-8667.14792,-7484.00359,-7126.79164,-7499.55756,-6947.78213,-6864.2429
Iteration_10,-8669.36111,-7484.25748,-7127.13483,-7502.23188,-6945.98025,-6867.17624
Iteration_11,-8671.13447,-7485.10069,-7124.63293,-7503.03946,-6937.95943,-6867.99196
Iteration_12,-8668.26188,-7484.48838,-7122.78488,-7503.8444,-6940.35593,-6862.64908
Iteration_13,-8670.37915,-7483.76987,-7124.83825,-7503.70552,-6940.95174,-6862.90032
Iteration_14,-8668.96621,-7483.16497,-7126.58188,-7501.21753,-6941.79376,-6867.49218
Iteration_15,-8669.70178,-7486.33703,-7126.05329,-7506.80023,-6945.97122,-6868.14923
Iteration_16,-8669.81536,-7486.05838,-7126.1751,-7504.89293,-6945.93491,-6865.43177
Iteration_17,-8670.36714,-7483.76499,-7125.55395,-7504.42114,-6941.83983,-6864.01168
Iteration_18,-8668.71892,-7483.86985,-7126.7735,-7502.79898,-6941.40381,-6870.56332
Iteration_19,-8669.45676,-7485.57718,-7126.54484,-7501.35391,-6944.06785,-6863.7796
Iteration_20,-8669.59398,-7483.71001,-7126.63316,-7502.36541,-6942.1486,-6858.95651
Iteration_21,-8672.02672,-7484.06512,-7125.44082,-7503.13282,-6938.33261,-6863.88962
Iteration_22,-8668.74401,-7485.17486,-7125.48843,-7502.25875,-6947.84425,-6869.99077
Iteration_23,-8669.71072,-7483.38506,-7123.58738,-7502.63216,-6941.01788,-6868.51692
Iteration_24,-8667.29652,-7483.54118,-7125.89641,-7504.17996,-6942.42724,-6867.82155
Iteration_25,-8669.55503,-7483.74385,-7125.09419,-7501.84702,-6945.20722,-6863.33174
Iteration_26,-8668.53623,-7483.14032,-7125.67168,-7502.22542,-6942.00022,-6864.56609
Iteration_27,-8667.28504,-7485.07357,-7124.51524,-7504.53527,-6945.79676,-6869.25772
Iteration_28,-8668.30365,-7481.63552,-7126.07052,-7505.67044,-6943.18534,-6859.0395
Iteration_29,-8669.45869,-7483.27411,-7125.61354,-7502.82041,-6942.12749,-6866.05418
Iteration_30,-8670.59644,-7486.72024,-7126.23051,-7502.26221,-6940.76559,-6867.56269
Iteration_31,-8669.78295,-7484.82378,-7123.83215,-7502.98614,-6945.93449,-6867.2248
Iteration_32,-8667.9326,-7483.18949,-7126.08257,-7506.2248,-6946.52424,-6867.61238
Iteration_33,-8668.31162,-7484.71885,-7126.30133,-7506.12391,-6940.87903,-6862.71079
Iteration_34,-8671.07861,-7485.10551,-7125.10539,-7501.9308,-6942.083,-6869.2438
Iteration_35,-8668.44522,-7484.22937,-7126.18022,-7503.20554,-6947.95214,-6859.89517
Iteration_36,-8666.2431,-7483.2667,-7125.18845,-7506.33879,-6947.42435,-6864.42643
Iteration_37,-8671.42965,-7484.35014,-7124.96483,-7501.72536,-6942.0675,-6864.04816
Iteration_38,-8669.13694,-7484.86786,-7126.24317,-7505.15729,-6942.14373,-6864.25523
Iteration_39,-8666.84144,-7483.4274,-7122.74135,-7500.85125,-6946.1393,-6863.04733
Iteration_40,-8670.82007,-7482.94785,-7129.19714,-7503.39776,-6942.27378,-6860.66464
Iteration_41,-8669.94998,-7483.5515,-7127.09677,-7504.05375,-6944.82275,-6866.99845
Iteration_42,-8669.42145,-7485.74699,-7125.6422,-7502.79401,-6945.46009,-6867.93278
Iteration_43,-8668.85418,-7485.5963,-7123.79088,-7506.19395,-6943.41645,-6868.79117
Iteration_44,-8666.78612,-7483.32927,-7126.35833,-7504.49275,-6944.04252,-6865.33915
Iteration_45,-8670.72402,-7484.67224,-7126.92217,-7506.18595,-6938.15855,-6869.07187
Iteration_46,-8670.37433,-7486.31022,-7124.83375,-7505.09643,-6943.20113,-6862.03957
Iteration_47,-8668.38398,-7484.28754,-7127.23534,-7503.50222,-6945.56856,-6860.98466
Iteration_48,-8666.87514,-7485.08628,-7127.5134,-7504.21504,-6945.10279,-6865.1521
Iteration_49,-8668.00201,-7484.60844,-7127.92663,-7504.21904,-6942.13118,-6868.28312
Iteration_50,-8667.74188,-7483.02019,-7125.76572,-7505.18815,-6941.07069,-6866.27467
Iteration_51,-8668.38862,-7483.27956,-7127.57538,-7504.71407,-6940.76693,-6863.11834
Iteration_52,-8668.10862,-7481.94092,-7124.7997,-7500.50014,-6942.77012,-6869.09728
Iteration_53,-8666.11836,-7484.57683,-7124.2713,-7504.08588,-6942.98517,-6867.51329
Iteration_54,-8667.67654,-7483.75784,-7126.22672,-7503.57588,-6946.71375,-6868.01754
Iteration_55,-8668.76898,-7486.79406,-7124.6166,-7504.8408,-6943.92626,-6863.71768
Iteration_56,-8669.08088,-7483.98842,-7126.39773,-7502.4287,-6946.69961,-6867.81357
Iteration_57,-8668.6258,-7483.77497,-7128.4661,-7502.96174,-6944.24341,-6870.72075
Iteration_58,-8668.03049,-7482.40064,-7125.97465,-7501.64044,-6944.70938,-6865.39532
Iteration_59,-8667.17849,-7484.95526,-7123.2784,-7503.5813,-6945.44409,-6867.73074
Iteration_60,-8668.35442,-7485.02559,-7125.44155,-7501.11327,-6939.37645,-6868.73607
Iteration_61,-8668.59362,-7485.30522,-7125.2532,-7502.45516,-6941.71803,-6864.16205
Iteration_62,-8669.93318,-7482.82393,-7124.61839,-7502.96995,-6940.81254,-6864.41856
Iteration_63,-8669.1422,-7483.62429,-7127.07191,-7505.2656,-6942.99896,-6867.33472
Iteration_64,-8669.48321,-7485.86244,-7125.81396,-7503.31049,-6942.40032,-6865.28876
Iteration_65,-8670.24682,-7482.5633,-7127.61394,-7502.86823,-6944.29602,-6867.98961
Iteration_66,-8667.69188,-7484.64805,-7125.65583,-7505.81612,-6940.88947,-6862.61722
Iteration_67,-8669.14762,-7483.87863,-7126.71832,-7505.43081,-6943.17953,-6862.78256
Iteration_68,-8666.87931,-7484.85146,-7126.03296,-7501.92576,-6945.42414,-6860.78658
Iteration_69,-8668.16479,-7485.01372,-7124.31862,-7502.52332,-6944.57321,-6867.02304
Iteration_70,-8669.9749,-7484.17025,-7125.08245,-7505.25732,-6945.61453,-6864.79866
Iteration_71,-8669.51639,-7482.12292,-7127.25117,-7502.39643,-6948.4203,-6868.05351
Iteration_72,-8670.03268,-7483.78608,-7127.4686,-7505.0013,-6944.05144,-6864.35603
Iteration_73,-8670.57898,-7483.06463,-7122.83156,-7505.46792,-6941.57979,-6865.06451
Iteration_74,-8671.46831,-7484.53253,-7126.11685,-7503.86449,-6943.65052,-6865.42038
Iteration_75,-8668.76461,-7483.81507,-7126.54495,-7504.10094,-6944.7982,-6863.16647
Iteration_76,-8667.62244,-7484.76505,-7123.90899,-7504.53832,-6938.55409,-6866.47173
Iteration_77,-8668.14918,-7483.88093,-7124.78819,-7502.44386,-6942.78136,-6863.23515
Iteration_78,-8669.32341,-7482.39728,-7124.44913,-7502.56118,-6942.63886,-6862.8529
Iteration_79,-8667.77269,-7482.1633,-7123.5672,-7501.89919,-6943.29061,-6865.7235
Iteration_80,-8667.96612,-7483.18091,-7123.73814,-7502.20487,-6940.75759,-6866.62968
Iteration_81,-8669.55707,-7484.58434,-7128.57462,-7502.11622,-6945.72653,-6863.91819
Iteration_82,-8667.9866,-7484.11799,-7124.41695,-7504.57846,-6943.45514,-6872.07024
Iteration_83,-8667.98805,-7484.56051,-7127.94525,-7508.07654,-6945.41981,-6865.08097
Iteration_84,-8668.61044,-7480.4982,-7122.90596,-7503.56141,-6945.67386,-6869.02433
Iteration_85,-8669.15007,-7483.72099,-7128.03935,-7504.12328,-6948.14535,-6866.48183
Iteration_86,-8667.86815,-7484.4933,-7127.30182,-7503.13967,-6942.66763,-6867.44261
Iteration_87,-8671.22196,-7483.16527,-7122.88797,-7501.9595,-6946.64812,-6865.55706
Iteration_88,-8668.71916,-7484.5838,-7127.82255,-7505.13175,-6940.31465,-6873.61923
Iteration_89,-8667.44235,-7482.5638,-7126.33094,-7505.03066,-6944.12158,-6863.25922
Iteration_90,-8669.18477,-7483.81533,-7127.33286,-7505.27049,-6943.16765,-6867.49647
Iteration_91,-8669.97594,-7484.7548,-7124.90708,-7504.24859,-6947.68354,-6864.66677
Iteration_92,-8668.27735,-7484.4698,-7127.00221,-7505.46499,-6940.92666,-6867.52504
Iteration_93,-8671.05721,-7483.69961,-7125.05215,-7501.74295,-6943.12187,-6862.92936
Iteration_94,-8667.98994,-7485.48826,-7124.90361,-7504.93136,-6946.47949,-6865.63521
Iteration_95,-8668.96637,-7486.31924,-7126.36236,-7505.28277,-6949.40843,-6865.22546
Iteration_96,-8668.46862,-7484.71968,-7125.76154,-7505.1457,-6944.75743,-6867.03455
Iteration_97,-8668.97225,-7484.36352,-7126.56798,-7503.905,-6945.03236,-6861.54923
Iteration_98,-8671.03655,-7482.857,-7123.40285,-7503.43159,-6942.71723,-6868.08743
Iteration_99,-8667.85433,-7484.24094,-7124.10105,-7500.33932,-6942.35695,-6871.06373
Iteration_100,-8669.74623,-7486.01204,-7122.25702,-7504.63083,-6944.83223,-6862.98516
