Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,22,85,29,4,24,32
best_MOL,-14770.863,-13523.141,-13389.856,-13620.821,-13479.725,-13388.952
Iteration_1,-14778.17685,-13530.09346,-13396.79617,-13627.75801,-13487.05431,-13395.98261
Iteration_2,-14778.77175,-13533.20631,-13398.63132,-13632.46774,-13487.12064,-13393.82496
Iteration_3,-14782.91078,-13529.83408,-13398.48085,-13630.22939,-13485.96347,-13398.229
Iteration_4,-14779.58475,-13531.72032,-13398.17482,-13630.39698,-13486.19669,-13402.79869
Iteration_5,-14778.69246,-13528.53085,-13398.30821,-13633.54771,-13484.79837,-13396.25037
Iteration_6,-14778.79715,-13530.13288,-13397.85001,-13632.50093,-13486.16376,-13398.91317
Iteration_7,-14778.99187,-13528.27421,-13402.40659,-13630.2122,-13490.37685,-13404.67629
Iteration_8,-14780.38541,-13530.70699,-13397.47215,-13627.20612,-13488.45221,-13399.58725
Iteration_9,-14781.11365,-13530.65821,-13397.96797,-13627.96572,-13486.20668,-13397.13423
Iteration_10,-14778.63952,-13529.24336,-13399.14395,-13630.15466,-13488.77273,-13397.23659
Iteration_11,-14778.15545,-13531.17201,-13397.38831,-13628.60716,-13487.67115,-13401.26825
Iteration_12,-14778.30051,-13531.08953,-13400.5265,-13632.01841,-13490.82696,-13402.20372
Iteration_13,-14779.86499,-13529.47176,-13398.20443,-13629.95754,-13485.43567,-13397.87513
Iteration_14,-14779.89811,-13531.29123,-13399.80584,-13632.32013,-13488.43996,-13396.63498
Iteration_15,-14776.23008,-13534.19903,-13395.36271,-13628.5206,-13484.73368,-13399.34202
Iteration_16,-14778.90262,-13529.23155,-13401.79088,-13628.99826,-13489.59735,-13396.6284
Iteration_17,-14781.03893,-13530.69181,-13399.45747,-13630.94128,-13484.23638,-13394.84428
Iteration_18,-14779.66526,-13529.4259,-13401.94826,-13630.65075,-13490.57717,-13397.44911
Iteration_19,-14780.03668,-13531.52435,-13397.94091,-13631.10217,-13488.66417,-13394.52559
Iteration_20,-14778.558,-13530.39521,-13397.65603,-13630.45614,-13484.73712,-13402.81301
Iteration_21,-14779.85057,-13532.29296,-13398.87381,-13631.24628,-13486.58668,-13397.40643
Iteration_22,-14777.79568,-13533.08142,-13401.30852,-13627.84132,-13486.73688,-13400.25674
Iteration_23,-14777.78307,-13527.67341,-13395.24371,-13635.54428,-13485.55159,-13398.80517
Iteration_24,-14781.01697,-13531.39844,-13398.22501,-13631.16681,-13489.28339,-13399.44465
Iteration_25,-14778.2144,-13531.45271,-13401.11518,-13632.50328,-13485.6461,-13402.07231
Iteration_26,-14777.69814,-13530.53036,-13397.12213,-13631.60099,-13488.27483,-13396.15354
Iteration_27,-14779.08973,-13527.36783,-13397.77519,-13632.28142,-13489.1049,-13399.48792
Iteration_28,-14781.34462,-13533.39596,-13401.37691,-13630.38594,-13487.7492,-13397.24825
Iteration_29,-14779.29065,-13531.29778,-13394.95119,-13628.63917,-13490.64097,-13399.35038
Iteration_30,-14779.75823,-13530.06714,-13399.43535,-13629.68431,-13484.9425,-13396.94816
Iteration_31,-14780.90515,-13534.26847,-13396.85628,-13626.38905,-13486.06065,-13400.60113
Iteration_32,-14778.6499,-13526.18716,-13395.68306,-13633.67279,-13489.07355,-13401.0188
Iteration_33,-14782.51481,-13530.96965,-13401.47079,-13634.13888,-13486.51982,-13397.92295
Iteration_34,-14780.7927,-13529.36845,-13401.49904,-13627.38619,-13487.45327,-13395.447
Iteration_35,-14778.47818,-13528.64485,-13400.39664,-13631.01268,-13489.37532,-13400.54752
Iteration_36,-14778.22047,-13533.15118,-13396.22519,-13631.88387,-13487.1853,-13396.68439
Iteration_37,-14779.87269,-13532.30229,-13398.27418,-13625.98272,-13487.99043,-13397.98253
Iteration_38,-14779.12358,-13530.1561,-13400.1719,-13627.25852,-13487.00522,-13396.07558
Iteration_39,-14779.39294,-13527.1859,-13402.26016,-13632.30585,-13488.96204,-13399.53046
Iteration_40,-14780.51528,-13532.33443,-13400.98014,-13631.23038,-13488.05853,-13394.88522
Iteration_41,-14777.08377,-13529.17812,-13400.72461,-13627.68933,-13485.28558,-13397.18362
Iteration_42,-14776.78881,-13528.8829,-13398.25068,-13629.74264,-13487.53015,-13400.30733
Iteration_43,-14782.93538,-13531.60257,-13396.8285,-13631.91405,-13488.23449,-13396.21816
Iteration_44,-14779.82096,-13530.10775,-13399.96617,-13628.84905,-13489.23959,-13399.69526
Iteration_45,-14779.42313,-13529.25301,-13399.4232,-13633.79016,-13485.2511,-13395.37186
Iteration_46,-14779.06515,-13526.43331,-13398.07016,-13630.22103,-13490.09376,-13400.74836
Iteration_47,-14778.941,-13532.67111,-13397.94931,-13632.70772,-13486.99447,-13396.93324
Iteration_48,-14778.75156,-13532.27812,-13400.94791,-13634.24517,-13486.93341,-13399.10245
Iteration_49,-14776.40741,-13528.94092,-13397.35725,-13629.74001,-13489.1505,-13398.46569
Iteration_50,-14779.68586,-13528.13277,-13401.07316,-13630.25017,-13486.51221,-13399.79525
Iteration_51,-14778.34689,-13531.74372,-13397.69409,-13632.1886,-13488.00182,-13402.98101
Iteration_52,-14776.89016,-13528.88905,-13401.61659,-13630.93105,-13487.18229,-13397.92492
Iteration_53,-14777.70549,-13533.23194,-13398.85265,-13630.71308,-13487.1249,-13396.75095
Iteration_54,-14776.89703,-13529.08497,-13396.2529,-13630.71914,-13486.64427,-13397.36928
Iteration_55,-14775.16779,-13528.34456,-13399.82516,-13632.68987,-13489.73473,-13396.07761
Iteration_56,-14779.33092,-13530.51142,-13398.42711,-13632.27617,-13488.27908,-13397.0682
Iteration_57,-14780.08955,-13529.29688,-13396.35458,-13633.16396,-13489.58798,-13394.33517
Iteration_58,-14779.89678,-13531.83216,-13402.3704,-13634.50887,-13489.78831,-13398.94185
Iteration_59,-14778.69589,-13533.08919,-13398.88137,-13630.29067,-13488.72608,-13398.78312
Iteration_60,-14775.35532,-13530.22886,-13402.5814,-13628.7769,-13486.22118,-13399.24643
Iteration_61,-14780.7779,-13530.52786,-13397.64387,-13632.8122,-13487.63983,-13396.136
Iteration_62,-14779.049,-13529.79342,-13403.82265,-13629.44633,-13488.85162,-13399.0233
Iteration_63,-14777.61821,-13529.73394,-13403.21044,-13627.86913,-13485.54541,-13396.84804
Iteration_64,-14778.19217,-13529.94204,-13402.09119,-13633.86033,-13487.17878,-13400.11104
Iteration_65,-14780.14066,-13530.8459,-13398.38017,-13628.40323,-13488.05732,-13399.33604
Iteration_66,-14780.68338,-13528.70106,-13400.4485,-13631.49417,-13491.10361,-13395.04864
Iteration_67,-14779.97088,-13533.3129,-13400.27281,-13629.13156,-13491.12078,-13398.51835
Iteration_68,-14779.53734,-13531.89364,-13400.10733,-13630.05971,-13486.69303,-13403.06775
Iteration_69,-14776.29271,-13531.62446,-13396.25479,-13630.83379,-13483.63353,-13400.46869
Iteration_70,-14778.99306,-13528.64078,-13403.29136,-13630.46162,-13486.98626,-13396.50662
Iteration_71,-14777.2718,-13530.44887,-13399.42083,-13631.45724,-13488.60677,-13398.65684
Iteration_72,-14779.54576,-13528.54875,-13397.49567,-13629.89752,-13486.34307,-13399.89384
Iteration_73,-14779.59666,-13530.3836,-13397.34828,-13628.75669,-13486.60959,-13403.54454
Iteration_74,-14780.28122,-13531.09329,-13402.84318,-13627.87545,-13486.00571,-13396.81285
