Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
Iteration_72,-190.89295,-167.45984,-160.04427,-167.05431,-164.31181,-153.3283
Iteration_73,-190.84204,-167.46109,-160.09316,-167.04222,-164.2764,-153.22837
Iteration_74,-190.87663,-167.46774,-160.02903,-167.07962,-164.22983,-153.21648
Iteration_75,-190.8976,-167.53998,-160.12585,-167.15308,-164.30694,-153.28153
Iteration_76,-190.91307,-167.51014,-159.96441,-167.02307,-164.26601,-153.31512
Iteration_77,-190.86811,-167.41131,-160.08353,-167.07651,-164.28148,-153.4526
Iteration_78,-190.8155,-167.49662,-160.11922,-167.11291,-164.24036,-153.29355
Iteration_79,-190.87758,-167.47362,-160.0653,-167.10417,-164.22652,-153.2358
Iteration_80,-190.86078,-167.45563,-160.08251,-167.10873,-164.28867,-153.19539
Iteration_81,-190.84257,-167.49804,-160.05786,-167.05626,-164.2438,-153.11735
Iteration_82,-190.85504,-167.52804,-160.10123,-167.05669,-164.33818,-153.27597
Iteration_83,-190.89558,-167.48772,-160.05577,-167.08616,-164.2332,-153.26164
Iteration_84,-190.85283,-167.47853,-160.09047,-167.08132,-164.24386,-153.2585
Iteration_85,-190.85937,-167.47539,-160.0308,-167.11306,-164.25098,-153.36468
Iteration_86,-190.8428,-167.41339,-160.02093,-167.06724,-164.35782,-153.14852
Iteration_87,-190.82398,-167.53674,-160.08545,-167.11591,-164.24127,-153.28641
Iteration_88,-190.85236,-167.50008,-160.05679,-167.12047,-164.31769,-153.26238
Iteration_89,-190.92927,-167.47438,-160.06872,-167.00273,-164.28151,-153.31244
Iteration_90,-190.8266,-167.47787,-160.06438,-167.13103,-164.27329,-153.36269
Iteration_91,-190.87279,-167.50848,-160.04041,-167.061,-164.28988,-153.15556
Iteration_92,-190.89481,-167.48442,-160.14214,-167.11064,-164.31356,-153.23664
Iteration_93,-190.81828,-167.4977,-160.10773,-167.0586,-164.29073,-153.36156
Iteration_94,-190.86937,-167.53143,-160.13125,-167.08008,-164.31849,-153.26378
Iteration_95,-190.87135,-167.50731,-160.13748,-167.05458,-164.25416,-153.27832
Iteration_96,-190.89051,-167.45793,-160.10623,-167.09672,-164.34779,-153.13872
Iteration_97,-190.85853,-167.43828,-160.07894,-167.116,-164.2903,-153.19912
Iteration_98,-190.86933,-167.44866,-160.08012,-167.143,-164.29173,-153.18805
Iteration_99,-190.90025,-167.44202,-160.12123,-167.06725,-164.30079,-153.19074
Iteration_100,-190.86479,-167.47105,-160.1157,-167.11347,-164.24197,-153.30393
