Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,95,11,6,52,16,89
best_MOL,-2536.944,-2190.038,-2089.809,-2195.43,-2039.303,-2015.505
Iteration_1,-2538.75494,-2191.38131,-2091.1238,-2198.71111,-2041.64215,-2018.5244
Iteration_2,-2538.40147,-2191.96436,-2091.60461,-2196.97148,-2042.98259,-2019.96015
Iteration_3,-2538.09946,-2192.41964,-2091.03225,-2198.68793,-2042.03437,-2020.38521
Iteration_4,-2539.03153,-2192.19466,-2091.14012,-2197.33428,-2043.05347,-2020.1492
Iteration_5,-2538.66749,-2191.90167,-2090.4532,-2197.06325,-2042.10525,-2018.22365
Iteration_6,-2538.91389,-2190.85428,-2091.54932,-2197.4827,-2041.58514,-2019.15185
Iteration_7,-2538.65661,-2191.86512,-2090.86407,-2197.39826,-2040.98309,-2019.24355
Iteration_8,-2538.34435,-2191.73686,-2091.60876,-2197.99731,-2043.71298,-2019.42604
Iteration_9,-2538.13639,-2192.51624,-2092.3291,-2198.55457,-2041.82932,-2018.01104
Iteration_10,-2537.49712,-2190.98669,-2091.21153,-2197.53387,-2041.0198,-2016.53436
Iteration_11,-2538.63513,-2191.97375,-2092.65349,-2197.06852,-2041.96206,-2017.59379
Iteration_12,-2538.80259,-2191.33246,-2091.54829,-2196.93896,-2041.4226,-2019.04628
Iteration_13,-2538.47073,-2191.6516,-2091.7601,-2197.71998,-2043.16332,-2018.28456
Iteration_14,-2538.58695,-2191.15716,-2091.41976,-2197.65569,-2042.7673,-2018.78124
Iteration_15,-2538.74053,-2191.59853,-2092.40881,-2197.0823,-2041.54017,-2019.02407
Iteration_16,-2538.50851,-2192.10352,-2091.74254,-2198.02568,-2042.46911,-2021.5777
Iteration_17,-2538.44725,-2192.00485,-2092.02926,-2197.73704,-2041.96218,-2019.40662
Iteration_18,-2538.47152,-2191.52491,-2090.94619,-2197.56389,-2041.39755,-2018.82961
Iteration_19,-2538.95603,-2191.67578,-2091.86202,-2197.39224,-2041.98718,-2019.48471
Iteration_20,-2538.21728,-2191.8157,-2091.44351,-2197.85767,-2042.48659,-2020.51458
Iteration_21,-2537.94772,-2191.49216,-2091.00896,-2197.27916,-2042.16013,-2019.13335
