Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
Iteration_86,-1488.67369,-1351.83322,-1338.14028,-1359.93123,-1345.74234,-1337.35324
Iteration_87,-1488.44591,-1351.83454,-1338.14292,-1359.61195,-1345.64565,-1336.81932
Iteration_88,-1488.44512,-1352.03768,-1338.26558,-1359.43713,-1345.55609,-1337.16812
Iteration_89,-1488.3504,-1352.09329,-1338.25767,-1359.03357,-1345.65867,-1337.15954
Iteration_90,-1488.19257,-1352.11448,-1337.73271,-1359.0485,-1345.79864,-1337.23557
Iteration_91,-1488.56419,-1351.81115,-1338.16515,-1358.79547,-1345.6331,-1337.31385
Iteration_92,-1488.11532,-1352.30473,-1337.80252,-1359.30339,-1345.63372,-1337.35908
Iteration_93,-1488.58351,-1351.99844,-1337.90994,-1359.99582,-1345.89601,-1337.22279
Iteration_94,-1488.51819,-1351.58499,-1337.8766,-1359.3528,-1345.94999,-1337.50762
Iteration_95,-1488.2637,-1352.01193,-1338.58194,-1359.12053,-1345.46182,-1337.00851
Iteration_96,-1488.41463,-1351.75293,-1338.24033,-1359.57026,-1346.20818,-1337.17313
Iteration_97,-1488.31849,-1351.65403,-1337.67664,-1359.51588,-1345.7633,-1337.08754
Iteration_98,-1488.46025,-1351.63864,-1338.48797,-1359.58498,-1345.81524,-1337.27456
Iteration_99,-1488.42625,-1351.87374,-1338.22753,-1359.74219,-1345.35416,-1337.12165
Iteration_100,-1488.66098,-1352.1355,-1337.89152,-1359.67565,-1346.01697,-1336.52817
