Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,97,97,52,65,5,60
best_MOL,-1487.653,-1351.231,-1337.027,-1358.498,-1345.075,-1336.172
Iteration_1,-1488.41029,-1351.89369,-1338.21642,-1359.05408,-1345.95709,-1336.78504
Iteration_2,-1488.43125,-1352.30181,-1338.09009,-1359.5991,-1345.65043,-1337.73853
Iteration_3,-1488.57793,-1351.96607,-1338.10227,-1359.20746,-1345.82895,-1337.35542
Iteration_4,-1488.46377,-1351.92729,-1338.02948,-1359.03017,-1345.913,-1337.27063
Iteration_5,-1488.53918,-1351.7534,-1338.26486,-1359.6216,-1345.69076,-1337.30413
Iteration_6,-1488.45644,-1351.92564,-1337.82217,-1359.2983,-1345.69566,-1337.09092
Iteration_7,-1488.57305,-1351.77711,-1337.78972,-1359.33946,-1345.75522,-1336.91905
Iteration_8,-1488.4727,-1351.82295,-1337.81181,-1359.95267,-1346.04731,-1337.46917
Iteration_9,-1488.38925,-1351.50874,-1338.10606,-1359.53441,-1345.59265,-1337.4133
Iteration_10,-1488.14738,-1352.04923,-1337.91196,-1359.51818,-1345.6003,-1336.71578
Iteration_11,-1488.34035,-1351.75843,-1338.30605,-1359.60781,-1345.81559,-1336.73189
Iteration_12,-1488.68388,-1351.8014,-1338.03968,-1358.51561,-1345.71987,-1337.31142
Iteration_13,-1488.33088,-1351.63742,-1338.09878,-1359.36116,-1346.06127,-1336.86655
Iteration_14,-1488.29243,-1352.45092,-1338.02262,-1359.32909,-1345.74885,-1337.43834
Iteration_15,-1488.32513,-1351.9941,-1338.18991,-1359.26449,-1345.73664,-1336.96619
Iteration_16,-1488.36262,-1351.6082,-1338.31505,-1359.05901,-1345.68597,-1337.24428
Iteration_17,-1488.30936,-1351.60424,-1338.43579,-1359.38215,-1345.95081,-1337.18032
Iteration_18,-1488.17973,-1351.92667,-1337.69387,-1359.83127,-1345.9731,-1337.14565
Iteration_19,-1488.15814,-1352.10112,-1337.81725,-1359.24295,-1345.88879,-1337.17542
Iteration_20,-1488.3164,-1351.84993,-1338.07516,-1359.08482,-1346.02739,-1336.92466
Iteration_21,-1488.637,-1351.92597,-1338.33084,-1359.87418,-1346.00565,-1337.07474
Iteration_22,-1488.32254,-1351.97226,-1337.48346,-1359.32127,-1345.59299,-1336.92893
Iteration_23,-1488.38844,-1351.55578,-1338.10151,-1359.62892,-1346.0187,-1337.21917
Iteration_24,-1488.21415,-1351.83533,-1338.12303,-1359.56828,-1345.77046,-1337.28548
Iteration_25,-1488.81161,-1352.24536,-1338.06887,-1359.79146,-1345.80175,-1336.848
Iteration_26,-1488.62706,-1352.2021,-1337.30616,-1359.02546,-1345.777,-1337.53497
Iteration_27,-1488.71439,-1351.71973,-1337.53054,-1359.7794,-1345.83169,-1336.64522
Iteration_28,-1488.6139,-1351.82822,-1338.21089,-1359.26352,-1345.6454,-1337.04495
Iteration_29,-1488.1268,-1351.91017,-1337.94216,-1359.25411,-1345.91704,-1337.08534
Iteration_30,-1488.25735,-1352.13297,-1338.3278,-1359.45892,-1345.80382,-1336.73311
Iteration_31,-1488.8497,-1352.16556,-1338.24371,-1358.87792,-1345.907,-1337.34392
Iteration_32,-1488.11412,-1351.68406,-1338.3847,-1359.64117,-1345.98361,-1337.15909
Iteration_33,-1488.6215,-1351.4,-1337.86245,-1359.30548,-1346.01699,-1336.61398
Iteration_34,-1488.38597,-1351.81343,-1338.00005,-1359.37016,-1345.76918,-1337.20131
Iteration_35,-1488.27299,-1351.60554,-1338.40221,-1359.32639,-1345.79075,-1336.97891
Iteration_36,-1488.33587,-1351.98522,-1337.64351,-1359.8172,-1346.18829,-1337.08282
Iteration_37,-1488.35789,-1352.12787,-1338.22416,-1359.58908,-1345.8346,-1336.88008
Iteration_38,-1488.53811,-1351.68133,-1338.07653,-1359.76891,-1345.56688,-1337.51081
Iteration_39,-1488.3095,-1351.64791,-1338.56555,-1359.36134,-1345.67294,-1337.30226
Iteration_40,-1488.51209,-1351.85516,-1338.01807,-1359.54856,-1345.73997,-1336.98118
Iteration_41,-1488.66859,-1351.52011,-1337.75299,-1359.12826,-1346.05142,-1336.92819
Iteration_42,-1488.4855,-1351.86352,-1337.47342,-1359.05951,-1345.69454,-1337.28456
Iteration_43,-1488.20008,-1351.98268,-1337.64117,-1359.23829,-1345.84983,-1336.9658
Iteration_44,-1488.60987,-1352.00677,-1338.13121,-1359.41724,-1345.5069,-1337.20721
Iteration_45,-1488.14274,-1351.60137,-1337.87741,-1359.2834,-1345.44857,-1337.33166
Iteration_46,-1488.66067,-1351.45641,-1337.99779,-1359.78079,-1346.05654,-1337.42432
Iteration_47,-1488.49652,-1351.83586,-1338.41515,-1359.04691,-1345.50751,-1337.16062
Iteration_48,-1488.4029,-1351.77353,-1338.05815,-1359.47983,-1345.69151,-1337.46073
Iteration_49,-1488.27661,-1352.07767,-1338.28391,-1359.62887,-1345.79232,-1337.05738
Iteration_50,-1488.56364,-1351.648,-1338.17158,-1359.30376,-1345.69325,-1337.15848
Iteration_51,-1488.4132,-1351.78769,-1337.93196,-1359.54788,-1346.01087,-1337.22931
Iteration_52,-1488.57597,-1351.88225,-1338.08965,-1359.42916,-1345.94085,-1337.01357
Iteration_53,-1488.06161,-1352.07762,-1338.07136,-1359.25337,-1346.35484,-1337.08605
Iteration_54,-1488.25764,-1351.89535,-1338.13783,-1359.43018,-1345.83177,-1336.91362
Iteration_55,-1488.23044,-1352.17971,-1338.12341,-1359.58328,-1345.80174,-1337.14768
Iteration_56,-1488.18771,-1351.5544,-1337.78701,-1359.23681,-1346.02502,-1337.73749
Iteration_57,-1488.27366,-1351.60027,-1337.91497,-1359.35504,-1345.75558,-1337.01356
Iteration_58,-1488.41932,-1352.01939,-1337.86348,-1359.30885,-1346.05177,-1337.12341
Iteration_59,-1488.21456,-1351.91825,-1338.34152,-1359.66629,-1345.55478,-1337.10819
Iteration_60,-1488.33392,-1352.03868,-1338.1753,-1359.38288,-1345.58897,-1337.05292
Iteration_61,-1488.74148,-1351.92473,-1337.94296,-1359.01183,-1345.87997,-1337.38864
Iteration_62,-1488.61122,-1351.63611,-1337.88131,-1359.5364,-1345.84744,-1336.87698
Iteration_63,-1488.43386,-1351.60942,-1338.13853,-1359.27,-1346.02022,-1337.47887
Iteration_64,-1488.41347,-1351.7218,-1337.81667,-1359.03824,-1345.92079,-1337.10076
Iteration_65,-1488.31051,-1352.24258,-1337.96723,-1358.9706,-1345.54231,-1336.82774
Iteration_66,-1488.78741,-1351.99506,-1337.70611,-1359.1605,-1345.82584,-1336.74426
Iteration_67,-1488.25136,-1351.70334,-1338.06391,-1359.38859,-1345.68517,-1336.96536
Iteration_68,-1488.76187,-1351.98276,-1337.76081,-1359.42416,-1345.31861,-1337.34971
Iteration_69,-1488.09255,-1352.22425,-1337.98613,-1359.21476,-1345.61337,-1337.24342
Iteration_70,-1488.60692,-1351.9085,-1337.82316,-1359.39853,-1345.50263,-1336.89368
Iteration_71,-1488.73383,-1351.72574,-1337.86739,-1359.41209,-1346.02611,-1337.32375
Iteration_72,-1488.6145,-1352.15338,-1337.94303,-1359.34846,-1345.95725,-1337.15465
Iteration_73,-1488.18832,-1351.87032,-1338.23498,-1359.64911,-1346.1725,-1337.31196
Iteration_74,-1488.27674,-1351.80371,-1338.2278,-1359.71991,-1345.88565,-1337.10223
Iteration_75,-1488.23229,-1351.91189,-1338.01195,-1359.66063,-1346.10735,-1337.40427
Iteration_76,-1488.37438,-1351.839,-1338.08334,-1359.38352,-1345.79777,-1337.30894
Iteration_77,-1488.46966,-1352.09982,-1338.42201,-1359.43748,-1345.76527,-1337.01301
Iteration_78,-1488.15485,-1351.83195,-1337.88809,-1359.28575,-1345.59619,-1337.18383
Iteration_79,-1488.41266,-1351.63793,-1337.98969,-1359.24657,-1345.73458,-1337.03673
Iteration_80,-1488.48469,-1351.82007,-1338.21068,-1359.26966,-1345.41645,-1337.19697
Iteration_81,-1488.42324,-1351.55379,-1337.65798,-1359.29586,-1345.52737,-1337.00695
Iteration_82,-1488.39649,-1351.89673,-1337.80741,-1359.0316,-1345.57859,-1337.11844
Iteration_83,-1488.43379,-1352.02616,-1337.60274,-1359.00102,-1345.77838,-1336.97312
Iteration_84,-1488.52601,-1352.2905,-1338.17086,-1359.41733,-1345.93126,-1337.07744
Iteration_85,-1488.6153,-1351.96641,-1338.25611,-1359.23046,-1345.89102,-1336.98486
