Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,65,60,73,95,62,49
best_MOL,-26110.181,-22577.015,-21500.867,-22590.984,-20986,-20729.639
Iteration_1,-26128.72507,-22602.26775,-21514.68143,-22599.24549,-21003.15356,-20735.17877
Iteration_2,-26124.97734,-22589.51504,-21521.20225,-22610.1982,-21016.84324,-20756.97178
Iteration_3,-26122.86583,-22591.08757,-21517.96121,-22606.79163,-21008.44299,-20768.64695
Iteration_4,-26128.51869,-22592.96689,-21522.91194,-22615.63423,-21012.23846,-20757.87881
Iteration_5,-26128.06636,-22591.16417,-21515.54212,-22611.58906,-20999.4031,-20769.40014
Iteration_6,-26128.69933,-22589.57166,-21519.03472,-22616.44016,-21004.80823,-20755.45784
Iteration_7,-26131.80106,-22596.9502,-21515.63789,-22609.65209,-21009.12351,-20747.17265
Iteration_8,-26124.73181,-22595.38827,-21517.04525,-22602.66697,-21010.52208,-20759.69048
Iteration_9,-26130.53234,-22584.72444,-21515.70033,-22605.57217,-21012.97091,-20744.268
Iteration_10,-26120.82938,-22593.80598,-21510.84095,-22607.91394,-21004.98292,-20760.37821
Iteration_11,-26131.22508,-22585.8961,-21517.63922,-22609.16352,-21007.65234,-20759.86745
Iteration_12,-26127.80137,-22596.27342,-21513.32689,-22611.63946,-21004.7245,-20746.70526
Iteration_13,-26126.83968,-22590.98377,-21510.51257,-22618.45048,-21006.61425,-20745.42795
Iteration_14,-26127.4294,-22594.61231,-21518.79344,-22605.06494,-21011.5317,-20767.56827
Iteration_15,-26125.94982,-22588.48745,-21509.79948,-22607.99078,-21024.76364,-20761.70137
Iteration_16,-26129.65972,-22592.462,-21517.97188,-22614.74148,-21014.41052,-20750.20412
Iteration_17,-26124.02716,-22596.29407,-21511.83461,-22609.41785,-21009.85875,-20761.78517
Iteration_18,-26122.41682,-22597.95766,-21517.79528,-22600.95579,-21004.98422,-20741.50303
Iteration_19,-26128.3954,-22590.57878,-21521.74955,-22611.51063,-21024.10458,-20757.52641
Iteration_20,-26125.78838,-22590.95095,-21511.58697,-22609.7291,-21015.88147,-20741.21745
Iteration_21,-26132.23413,-22597.67805,-21518.7396,-22612.33611,-21018.98376,-20766.13602
Iteration_22,-26120.38923,-22585.87331,-21519.17642,-22608.93299,-21010.93034,-20754.21432
Iteration_23,-26120.83749,-22594.14344,-21522.08101,-22610.21896,-21018.99928,-20751.61738
Iteration_24,-26122.34361,-22596.14206,-21519.52197,-22618.08044,-21014.01067,-20759.32283
Iteration_25,-26129.59886,-22593.87028,-21514.08109,-22601.67302,-21016.64423,-20762.89498
Iteration_26,-26120.87949,-22587.14398,-21514.58454,-22611.2827,-21011.34226,-20750.80947
Iteration_27,-26125.12148,-22599.32432,-21504.82594,-22612.17757,-21013.62768,-20761.07114
Iteration_28,-26126.45319,-22590.40809,-21518.60341,-22609.50062,-21005.99556,-20761.02275
Iteration_29,-26127.76703,-22598.24161,-21516.58846,-22609.38864,-21017.92207,-20742.00588
Iteration_30,-26124.52828,-22592.68538,-21521.98809,-22612.37467,-21016.88799,-20749.12872
Iteration_31,-26127.42547,-22599.86454,-21519.32724,-22613.64619,-21006.97939,-20746.37568
Iteration_32,-26119.63544,-22595.30553,-21517.01349,-22611.32328,-21004.43972,-20750.39991
Iteration_33,-26125.11419,-22590.96324,-21520.73499,-22611.69148,-21004.25505,-20741.40085
Iteration_34,-26127.78235,-22594.82015,-21518.60485,-22612.26239,-21008.94713,-20760.45655
Iteration_35,-26125.17172,-22595.79287,-21518.50432,-22604.75636,-21005.76465,-20765.2368
Iteration_36,-26128.93607,-22597.5374,-21520.05523,-22608.97064,-21023.7862,-20755.11416
Iteration_37,-26118.6584,-22594.5154,-21521.46168,-22609.91319,-21011.56256,-20760.76198
Iteration_38,-26127.64105,-22591.93996,-21509.0871,-22603.2469,-21023.90988,-20772.60403
Iteration_39,-26122.60385,-22593.79579,-21520.32733,-22608.21214,-21023.34764,-20754.65753
Iteration_40,-26127.70945,-22598.0855,-21522.05682,-22614.83442,-21016.40118,-20742.42377
Iteration_41,-26126.96571,-22591.5983,-21515.92815,-22613.86326,-21004.72895,-20743.43708
Iteration_42,-26124.18476,-22602.12742,-21514.94057,-22621.87898,-21011.40245,-20748.7469
Iteration_43,-26128.53883,-22594.99974,-21520.91319,-22610.70288,-21012.56512,-20763.06941
Iteration_44,-26122.44436,-22590.99624,-21517.86143,-22607.64347,-21013.66279,-20750.50057
Iteration_45,-26120.43534,-22595.87998,-21522.87769,-22615.48495,-21016.11776,-20738.27627
Iteration_46,-26125.0634,-22587.73896,-21516.23713,-22603.73931,-21008.66776,-20744.8416
Iteration_47,-26119.50914,-22592.2423,-21518.73191,-22609.21228,-21021.88617,-20767.41032
Iteration_48,-26127.5978,-22589.19629,-21520.15908,-22618.27324,-21005.94836,-20762.02956
Iteration_49,-26128.49492,-22597.19884,-21518.19094,-22609.6111,-20998.6077,-20740.93006
Iteration_50,-26123.4006,-22590.63659,-21515.70613,-22609.75946,-21013.80543,-20765.66565
Iteration_51,-26122.53476,-22590.23951,-21521.35984,-22614.36475,-21010.49698,-20752.65362
Iteration_52,-26118.04978,-22595.58187,-21517.79653,-22611.51976,-21021.20382,-20745.37517
Iteration_53,-26123.09235,-22592.342,-21512.3348,-22608.48602,-21004.35772,-20753.87474
Iteration_54,-26125.32376,-22593.67813,-21520.62093,-22613.63936,-21009.20771,-20749.12489
Iteration_55,-26126.33351,-22596.89829,-21525.70183,-22606.05716,-20998.53463,-20753.72636
Iteration_56,-26130.89175,-22588.60041,-21519.09344,-22616.57006,-21008.43019,-20764.12871
Iteration_57,-26122.65287,-22595.16665,-21513.09089,-22614.16195,-21001.29917,-20753.89639
Iteration_58,-26121.14227,-22590.92365,-21515.74064,-22610.11632,-21003.29865,-20740.9525
Iteration_59,-26124.03203,-22587.675,-21525.87899,-22611.69739,-21018.73802,-20763.43461
Iteration_60,-26121.3241,-22596.8676,-21509.52389,-22608.19816,-21017.49734,-20762.91283
Iteration_61,-26128.79178,-22592.93782,-21524.66507,-22612.65307,-21013.36061,-20747.52886
Iteration_62,-26128.63576,-22584.46787,-21534.8667,-22605.95968,-21007.26864,-20751.73294
Iteration_63,-26121.04108,-22599.17858,-21514.50787,-22612.48592,-21015.7252,-20758.56619
Iteration_64,-26126.05636,-22598.5314,-21525.54204,-22617.39772,-21001.42076,-20759.1799
Iteration_65,-26122.65047,-22598.36355,-21519.84071,-22609.48512,-21003.55078,-20746.30465
Iteration_66,-26127.08086,-22591.82097,-21522.65242,-22611.50689,-21025.40591,-20752.2977
Iteration_67,-26131.53977,-22593.26026,-21507.50525,-22613.2899,-21000.52051,-20742.65764
Iteration_68,-26127.22241,-22594.61726,-21517.3534,-22604.93174,-21006.71315,-20751.02131
Iteration_69,-26123.06382,-22586.96685,-21514.72811,-22608.48394,-20993.16331,-20751.79966
Iteration_70,-26125.52644,-22590.97866,-21523.35194,-22613.55996,-20998.17418,-20757.21938
Iteration_71,-26117.74817,-22593.19142,-21522.34391,-22608.69188,-21007.91737,-20750.46909
Iteration_72,-26129.6416,-22601.45648,-21522.68416,-22609.30214,-21004.84518,-20754.31474
Iteration_73,-26128.41806,-22596.03279,-21519.38646,-22612.60401,-21004.77131,-20752.33621
Iteration_74,-26122.52887,-22599.06835,-21516.96,-22614.29788,-20997.14375,-20748.92168
Iteration_75,-26127.29558,-22591.81203,-21509.12098,-22602.32657,-20998.14032,-20756.09774
