ITERATION,NVJAM0,NVJAC1,TBOT,GAM,JUMP,MaxEstLhood,MaxObsLhood,,,,
89,7803,228,58,-1.30E-01,281,-1.98E+05,-198469.872,,,,
90,5161,147,38,-1.98E-01,435,-1.98E+05,-198223.553,,,,
91,7699,205,53,-1.44E-01,313,-200244.559,-200224.858,,,,
92,1987,64,17,-4.31E-01,1016,-2.01E+05,-200623.481,,,,
93,6216,223,57,-1.28E-01,290,-2.00E+05,-200052.228,,,,
94,6092,230,59,-1.22E-01,277,-1.98E+05,-197787.948,,,,
95,8777,267,69,-1.08E-01,241,-2.00E+05,-199691.781,,,,
96,11049,350,88,-8.49E-02,183,-1.99E+05,-199067.085,,,,
97,7105,184,47,-1.63E-01,349,-2.00E+05,-199497.626,,,,
98,6606,210,54,-1.37E-01,310,-200715.418,-200692.332,,,,
99,11095,333,88,-8.45E-02,194,-2.01E+05,-200743.967,,,,
100,6210,163,42,-1.82E-01,394,-199127.896,-199106.658,,,,
